params.alpha,params.loss,params.penalty,metrics.test_auc_score,metrics.test_ap_score
0.0001,perceptron,elasticnet,0.5937126829410837,0.13210788656202135
0.001,hinge,l2,0.6958029649095623,0.19352931511510563
0.001,hinge,l1,0.6200293091391711,0.14670367046296712
0.001,hinge,elasticnet,0.6794715953726508,0.18279159665150457
0.001,log,l2,0.6971708351681807,0.19358035218755631
0.001,log,l1,0.542816292018006,0.11650350673617342
0.001,log,elasticnet,0.6658727638646509,0.1724764478605172
0.001,modified_huber,l2,0.7088186589711806,0.2032812431583461
0.001,modified_huber,l1,0.6461645870030281,0.16313994099434037
0.001,modified_huber,elasticnet,0.6941680733830237,0.19304057535890995
0.001,squared_hinge,l2,0.708817206383638,0.20328169128242696
0.001,squared_hinge,l1,0.6385062906384725,0.15184501047881632
0.001,squared_hinge,elasticnet,0.6938728031099983,0.19299835720798764
0.001,perceptron,l2,0.622715716895275,0.14595246892012922
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5977267004958166,0.1302112717870008
0.01,hinge,l2,0.6893160317415012,0.18631175541720574
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5614058320625316,0.12198303622439566
0.01,log,l2,0.6902682665856616,0.18736843278060847
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6960817088137915,0.19263161418550395
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.6305755066897178,0.15100718584965367
0.01,squared_hinge,l2,0.6960817088137915,0.19263161418550395
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.6305755066897178,0.15100718584965367
0.01,perceptron,l2,0.6089441931156524,0.1392751877025228
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
0.0001,hinge,l2,0.7124717467475631,0.20198381386531344
0.0001,hinge,l1,0.6907814674633981,0.1899931746542971
0.0001,hinge,elasticnet,0.7100678885051566,0.20129777293618153
0.0001,log,l2,0.7130227871060515,0.20478308908951437
0.0001,log,l1,0.6822168201822343,0.18520217251758647
0.0001,log,elasticnet,0.7077420622461794,0.2021653458346524
0.0001,modified_huber,l2,0.7054996153616144,0.1948559459360815
0.0001,modified_huber,l1,0.6987529026266861,0.18883742777886475
0.0001,modified_huber,elasticnet,0.7076247849151078,0.19748106208041546
0.0001,squared_hinge,l2,0.5983070814237329,0.1308332802982879
0.0001,squared_hinge,l1,0.5959625541619776,0.12915589718251724
0.0001,squared_hinge,elasticnet,0.597713720649237,0.1306203244185033
0.0001,perceptron,l2,0.6196412516513626,0.14427247807192925
0.0001,perceptron,l1,0.5912771098706636,0.13133563444392926
0.0001,perceptron,elasticnet,0.609678917840969,0.14076877048668582
0.001,hinge,l2,0.6979247960601069,0.19541402543112252
0.001,hinge,l1,0.6269729324327631,0.14999307490954533
0.001,hinge,elasticnet,0.6819399620934115,0.1855684415368795
0.001,log,l2,0.6998433499013259,0.1955781937662032
0.001,log,l1,0.562709036691512,0.11983526319071522
0.001,log,elasticnet,0.6696574892015831,0.17511229820625218
0.001,modified_huber,l2,0.7124784150587967,0.2046646865735021
0.001,modified_huber,l1,0.645693710788631,0.16227710903095643
0.001,modified_huber,elasticnet,0.6979569441159841,0.19634085366753815
0.001,squared_hinge,l2,0.712482263141585,0.20465521689213365
0.001,squared_hinge,l1,0.6464166873936468,0.1599093075779045
0.001,squared_hinge,elasticnet,0.6977456775751744,0.19609882741149304
0.001,perceptron,l2,0.6218446230815652,0.14523594399438156
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5674872979289329,0.11864364867901296
0.01,hinge,l2,0.6918419540581389,0.18853103890146206
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5861824988515214,0.1294616134787796
0.01,log,l2,0.6943555336279963,0.1894592789841474
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6987052433143597,0.1946740614235041
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.6309004615660626,0.15217615409344273
0.01,squared_hinge,l2,0.6987065769766063,0.1946737852130399
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.63093043923529,0.15219375524986822
0.01,perceptron,l2,0.6201687193172736,0.1451724903591695
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
0.0001,hinge,l2,0.7114075692213179,0.20291007698494778
0.0001,hinge,l1,0.6909062285934469,0.19043541690300564
0.0001,hinge,elasticnet,0.7098323442146581,0.20217706635528782
0.0001,log,l2,0.7113953453998337,0.20402050656285436
0.0001,log,l1,0.6819249690114657,0.1853633175081846
0.0001,log,elasticnet,0.706585301377087,0.2014155748475288
0.0001,modified_huber,l2,0.7035294224579887,0.1972511323551947
0.0001,modified_huber,l1,0.6977187240063282,0.18974483095954298
0.0001,modified_huber,elasticnet,0.7058268510552411,0.19914570354469624
0.0001,squared_hinge,l2,0.6003783948075176,0.12966925371745364
0.0001,squared_hinge,l1,0.5975221659762203,0.1285901567992421
0.0001,squared_hinge,elasticnet,0.5998278216555488,0.12946115606888228
0.0001,perceptron,l2,0.6263653558380767,0.14879443193613456
0.0001,perceptron,l1,0.5991651571648753,0.1327122561090266
0.0001,perceptron,elasticnet,0.6039538838283344,0.14219971472254628
0.001,hinge,l2,0.696842626835527,0.1940681169989918
0.001,hinge,l1,0.6198252503207585,0.14688837871838323
0.001,hinge,elasticnet,0.6803308646140841,0.18347046220561863
0.001,log,l2,0.698422889177934,0.19417160033955388
0.001,log,l1,0.5317527439463627,0.11180438008645807
0.001,log,elasticnet,0.6681842129048217,0.1737554359716021
0.001,modified_huber,l2,0.7109373980640321,0.20383199966666912
0.001,modified_huber,l1,0.6500434884323063,0.16574299681852273
0.001,modified_huber,elasticnet,0.6963573861443196,0.19512409628113528
0.001,squared_hinge,l2,0.7109390715128385,0.20383395416964373
0.001,squared_hinge,l1,0.6435070865884887,0.15608707552818685
0.001,squared_hinge,elasticnet,0.6957961139630529,0.19447342330209055
0.001,perceptron,l2,0.6198292045868466,0.14737551161931284
